Name,Panopath Link
Rutgers University--New Brunswick,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652509043&idx=1&sn=1ea7f2a91f82f46584d00b09144b89b9&chksm=f39dbfc9c4ea36df03315101d87930009ad69edaad45fd106508c36c501ff580fd021f6dfa25&scene=21#wechat_redirect
Pennsylvania State University--University Park,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652504676&idx=1&sn=87c7e5e6890ccced123457201c929141&chksm=f39daedec4ea27c832f00cdba75b9d7ae95606a0a3c105824100b1a779faa9348c6b18a32186&scene=21#wechat_redirect
Southern Methodist University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652507380&idx=1&sn=f3fc7eecb0a52b43fd95d621624e901e&chksm=f39da04ec4ea29580368f059ca655b7f62fd0ab8db35296bba67150920e9e0832fdce3ba0ecc&scene=21#wechat_redirect
University of Washington,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652504846&idx=1&sn=adc1a7d82435a2049b828126e37930c8&chksm=f39dafb4c4ea26a258bf101e9078ebaa8db82a2a7a84c6d1b7f29f6884584312c832cc401ce5&scene=21#wechat_redirect
Worcester Polytechnic Institute,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652508384&idx=1&sn=3c493eb0dc09b3eb049c2013aa2086a6&chksm=f39dbc5ac4ea354cfde9d32a64e7b73c3d7757fb823aa2285f6b6b8557b71dead9db93fa25f9&scene=21#wechat_redirect
George Washington University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652506265&idx=1&sn=6f17f482720573fcd4a5b38a3ff9fa67&chksm=f39da423c4ea2d3508ed749d71b197b993c888fdafe2fe5655128aba493781d51c446072c8e0&scene=21#wechat_redirect
University of Connecticut,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652505502&idx=1&sn=d42817093c68f3737b3deae655ab8a68&chksm=f39da924c4ea203213c5a884ce39d8f0792051002c3665c1410ebc6ff795ceae2c6e2434141d&scene=21#wechat_redirect
University of Maryland--College Park,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652508503&idx=1&sn=8fc93e8902e05f238f5291e257040ed5&chksm=f39dbdedc4ea34fbd86faa9171addee278284a207251fc9de4ec886b3ccfbc7b0916c0b3d38b&scene=21#wechat_redirect
Brigham Young University--Provo,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652511562&idx=1&sn=24f8731c1c57cdaddcaaee9f91a421f8&chksm=f39db1f0c4ea38e634e12edcb3aae36991aa7816a0d42c47199f93df5babd27b2ab42790c7a8&scene=21#wechat_redirect
Clark University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652507691&idx=1&sn=b581ce7c25188995293dab82f866f656&chksm=f39da291c4ea2b873e48b989280737d8fc9279a2f017f91fc082df7350484343c894c31b35a0&scene=21#wechat_redirect
Clemson University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652507626&idx=1&sn=694d9f577f29a9d3b7f4051afba7f898&chksm=f39da150c4ea2846540bd55999298930e937def0b43d193eda02437e6b2013f263d6c55cb4a3&scene=21#wechat_redirect
Texas A&M University--College Station,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652511682&idx=1&sn=dc38b8be43a7502a4dfa2110b96fe8b9&chksm=f39db178c4ea386e4ac7ca9dc0000bcc8c2fa1e712e61b6ffca240e4a3d2b5ff7dc477b8ed5d&scene=21#wechat_redirect
Florida State University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652504811&idx=1&sn=bc506558cdf434c172324084a5882b0c&chksm=f39dae51c4ea2747286635b09dbfdf2fa700706ff697a39fb76ec0226afdb88340aa57e8ed2b&scene=21#wechat_redirect
